,full_name,line,movie,year,words,neg,neu,pos,compound
20,TONY STARK,"Hold on a second -- -- so now your limbic system is positively...throbbing.  A Kirlian photograph of us right now, occupying this space, would show serious subatomic particles being exchanged between us, with a rapidity that transcends-- Are you getting this?  You will be quizzed -- My God, what are you, they roped you into this thing too? ",Iron Man,2008,61,0.023,0.934,0.043,0.2869
21,JAMES RHODES,Yeah.  They said you’d be deeply honored if I presented.,Iron Man,2008,11,0.0,0.527,0.473,0.7425
22,TONY STARK,"Okay, let’s do it. That was quick.  Thought there’d be more of, you know, a ceremony. Maybe a highlight reel -- Colore me up. My chaperone has just arrived with my Degenerate of the Year Award.  Judging from his look, I may have just peed in the kiddie pool. I must now take my ease, along with the House’s funds.",Iron Man,2008,62,0.0,0.835,0.165,0.8519
23,JAMES RHODES,A lot of people would kill to have their name on that award.,Iron Man,2008,13,0.258,0.549,0.192,-0.296
24,TONY STARK,It belongs to my old man.  They should have given it to him.,Iron Man,2008,14,0.0,1.0,0.0,0.0
25,JAMES RHODES,"What’s wrong with you?  A thousand people came here tonight to honor you, and you leave them with egg on their face.  This award means something, Tony, it’s bigger than you -- ",Iron Man,2008,35,0.113,0.711,0.176,0.5267
26,TONY STARK,Hold that thought a sec. Put it all on black.  Don’t worry -- it’s approved.,Iron Man,2008,16,0.164,0.678,0.158,-0.0258
27,JAMES RHODES,...you just blew three million.,Iron Man,2008,5,0.0,1.0,0.0,0.0
28,TONY STARK,Yeah.  Don’t know what was more exciting -- winning it...or the fact that I don’t care I just lost it.,Iron Man,2008,21,0.083,0.467,0.451,0.8822
29,JAMES RHODES,Everything’s funny to you.,Iron Man,2008,4,0.0,0.508,0.492,0.4404
30,TONY STARK,No.  You’re not funny.,Iron Man,2008,5,0.697,0.303,0.0,-0.5583
31,JAMES RHODES,We’ve got a hell of a day tomorrow. Can we get out of here now?,Iron Man,2008,15,0.277,0.723,0.0,-0.6808
32,TONY STARK,One more stop. Of course I respect your opinion.,Iron Man,2008,9,0.215,0.518,0.267,0.1548
33,JAMES RHODES,This is no joke.  You’re going into a hot zone.  We should be doing this test here in Nevada.,Iron Man,2008,21,0.108,0.784,0.108,0.0
34,TONY STARK,This system has to be demonstrated in true field conditions.,Iron Man,2008,10,0.0,0.763,0.237,0.4215
35,PEPPER POTTS,"Tony, it’s the President.  Wants to congratulate you personally.  Heads up.",Iron Man,2008,13,0.0,0.758,0.242,0.4939
36,TONY STARK,"...Jim, how’re the trout running? Yeah, sitting on top of the world here.  Working on my masterpiece --",Iron Man,2008,19,0.0,0.649,0.351,0.7964
37,PEPPER POTTS,You’re leaving the country for a week.  I need five minutes --,Iron Man,2008,13,0.0,1.0,0.0,0.0
38,TONY STARK,Okay -- shoot.,Iron Man,2008,3,0.453,0.189,0.358,-0.128
39,PEPPER POTTS,The Board meeting is on the eleventh.  Should I tell them to expect an appearance--?,Iron Man,2008,16,0.0,1.0,0.0,0.0
40,CHRISTINE EVERHART,"Mr. Stark! Christine Everhart, Vanity Fair Magazine.  Can I ask you a few questions? ",Iron Man,2008,16,0.131,0.69,0.179,0.1759
41,TONY STARK,Can I ask a few back?,Iron Man,2008,6,0.0,1.0,0.0,0.0
42,CHRISTINE EVERHART,You’ve been described as a Da Vinci for our times.  What do you say to that?,Iron Man,2008,17,0.0,1.0,0.0,0.0
43,TONY STARK,Ridiculous.  I don’t paint.,Iron Man,2008,5,0.556,0.444,0.0,-0.3612
44,CHRISTINE EVERHART,And what do you say to your other nickname: “The Merchant of Death?”,Iron Man,2008,13,0.0,1.0,0.0,0.0
45,TONY STARK,That’s not bad -- Let me guess.  Berkeley?,Iron Man,2008,9,0.0,0.711,0.289,0.431
46,CHRISTINE EVERHART,Brown.,Iron Man,2008,1,0.0,1.0,0.0,0.0
47,TONY STARK,"Well Miss Brown, it’s an imperfect world and I assure you, the day weapons are no longer needed to keep the peace, I’ll start manufacturing bricks and beams to make baby hospitals. ",Iron Man,2008,33,0.22,0.585,0.195,0.0
48,CHRISTINE EVERHART,"Rehearse that much, Mr. Stark? ",Iron Man,2008,6,0.0,1.0,0.0,0.0
49,TONY STARK,Every night in front of the mirror. Call me Tony.,Iron Man,2008,10,0.0,1.0,0.0,0.0
50,CHRISTINE EVERHART,"I’m sorry, “Tony”, I was hoping for a serious answer. ",Iron Man,2008,11,0.25,0.481,0.269,0.296
51,TONY STARK,Here’s serious: my old man had a philosophy: peace means having a bigger stick than the other guy.,Iron Man,2008,18,0.069,0.745,0.186,0.4939
52,CHRISTINE EVERHART,"Good line, coming from the guy selling the sticks. ",Iron Man,2008,10,0.0,0.734,0.266,0.4404
53,TONY STARK,My father helped defeat Hitler.  He was on the Manhattan Project.  A lot of people -- including your professors at Brown -- might call that being a hero.,Iron Man,2008,30,0.098,0.784,0.118,0.1531
54,CHRISTINE EVERHART,Others might call it war- profiteering.,Iron Man,2008,6,0.579,0.421,0.0,-0.6705
55,TONY STARK,"Tell me: do you plan to report on the millions we’ve saved by advancing medical technology?  Or kept from starving with our inteli- crops?  All were breakthroughs spawned from, that’s right, military funding. ",Iron Man,2008,36,0.077,0.847,0.077,0.0
56,CHRISTINE EVERHART,Wow.  You ever lose an hour of sleep your whole life?,Iron Man,2008,12,0.174,0.581,0.245,0.2732
57,JARVIS,"I’m sorry, Miss Everhart, you are not authorized to access that area.",Iron Man,2008,12,0.225,0.775,0.0,-0.2263
58,PEPPER POTTS,"Don’t worry, that’s Jarvis -- he runs the house.  Jarvis: de- activate security. Here, your clothes cleaned and pressed.  Anything else I can get you? ",Iron Man,2008,28,0.106,0.806,0.088,-0.128
59,CHRISTINE EVERHART,"Look, Tony wanted me to stay for breakfast, but I’ve got to get a jump on the day.  Call me a cab, would you? ",Iron Man,2008,26,0.0,1.0,0.0,0.0
60,PEPPER POTTS,Cab’s waiting outside.,Iron Man,2008,3,0.0,1.0,0.0,0.0
61,CHRISTINE EVERHART,"And a coffee, hon.  Black.  One Splenda. ",Iron Man,2008,10,0.0,1.0,0.0,0.0
62,PEPPER POTTS,Should I tell Mr. Stark you were satisfied with the interview? You still owe me five minutes--,Iron Man,2008,17,0.0,0.843,0.157,0.4215
63,TONY STARK,Five?  I’ll need a bit longer than that --,Iron Man,2008,10,0.0,1.0,0.0,0.0
64,PEPPER POTTS,Focus.  I need to leave on time today.,Iron Man,2008,9,0.167,0.833,0.0,-0.0516
65,TONY STARK,"You’re rushing me.  What, you have plans tonight? ",Iron Man,2008,10,0.0,1.0,0.0,0.0
66,PEPPER POTTS,The MIT commencement.  Yes or no?,Iron Man,2008,7,0.247,0.449,0.303,0.128
67,TONY STARK,Maybe.  Tell me your plans.,Iron Man,2008,6,0.0,1.0,0.0,0.0
68,PEPPER POTTS,I’ll tell them ‘yes’.  You want to buy the Jackson Pollock?  He’s got another buyer in the wings --,Iron Man,2008,21,0.0,0.933,0.067,0.0772
69,TONY STARK,What’s it look like?,Iron Man,2008,4,0.0,0.545,0.455,0.3612
70,PEPPER POTTS,"It’s a minor work in his later Spring Period, it’s ludicrously over-priced-- ",Iron Man,2008,13,0.107,0.893,0.0,-0.0516
71,TONY STARK,Buy it.,Iron Man,2008,2,0.0,1.0,0.0,0.0
72,PEPPER POTTS,He left an hour ago.  Okay.  It’s Rhodey again.,Iron Man,2008,11,0.0,0.808,0.192,0.2263
73,TONY STARK,"You have plans, don’t you --? ",Iron Man,2008,7,0.0,1.0,0.0,0.0
74,PEPPER POTTS,I’m allowed to have plans on my birthday.,Iron Man,2008,8,0.0,1.0,0.0,0.0
75,TONY STARK,It’s your birthday again?,Iron Man,2008,4,0.0,1.0,0.0,0.0
76,PEPPER POTTS,"Yep.  Funny, same day as last year. ",Iron Man,2008,9,0.0,0.495,0.505,0.6249
77,TONY STARK,"Well, get yourself something from me.  Something nice. ",Iron Man,2008,10,0.0,0.55,0.45,0.5994
78,PEPPER POTTS,Already did.,Iron Man,2008,2,0.0,1.0,0.0,0.0
79,TONY STARK,And...?,Iron Man,2008,1,0.0,1.0,0.0,0.0
80,PEPPER POTTS,"It was very tasteful, very elegant. Thank you, Mr. Stark. ",Iron Man,2008,11,0.0,0.554,0.446,0.7532
81,TONY STARK,"You’re welcome, Miss Potts. Sorry, pal -- car trouble.",Iron Man,2008,9,0.412,0.368,0.221,-0.1531
82,JAMES RHODES,"I was standing out there three hours, what the hell --? ",Iron Man,2008,12,0.338,0.662,0.0,-0.6808
83,TONY STARK,"I had car trouble. Thanks, maybe later.",Iron Man,2008,7,0.281,0.417,0.302,0.0516
84,ATTENDANT,"Would you like a drink, Mr. Stark? ",Iron Man,2008,8,0.0,0.667,0.333,0.3612
85,TONY STARK,Two fingers of Laphroig.  You want one?,Iron Man,2008,8,0.0,0.822,0.178,0.0772
86,JAMES RHODES,We’re working.,Iron Man,2008,2,0.0,1.0,0.0,0.0
87,TONY STARK,You should have a drink.  We’ve got a twelve hour flight ahead of us.,Iron Man,2008,15,0.0,1.0,0.0,0.0
88,JAMES RHODES,It’s two in the afternoon.,Iron Man,2008,5,0.0,1.0,0.0,0.0
89,TONY STARK,"It’s two in the morning where we’re going.  C’mon, ten hours “bottle to throttle --” ",Iron Man,2008,17,0.0,1.0,0.0,0.0
90,JAMES RHODES,Don’t start with me.,Iron Man,2008,4,0.0,1.0,0.0,0.0
91,TONY STARK,"Jeez, we’re not getting hammered. Just a nightcap.  We’ll sleep better, arrive fresh.  It’s the responsible thing to do. I don’t know about you, but I want to sell some weapons.",Iron Man,2008,33,0.115,0.686,0.2,-0.0387
92,JAMES RHODES,"You don’t get it.  I don’t work for the military because they paid for my education, or my father’s education.  Don’t cheapen it like that. ",Iron Man,2008,28,0.0,0.902,0.098,0.3612
93,TONY STARK,"All I said was, with your smarts, your engineering background, you could write your own ticket in the private sector -- on top of which, you wouldn’t have to wear that ‘straight-jacket’. ",Iron Man,2008,33,0.0,0.868,0.132,0.5267
94,JAMES RHODES,"‘Straight-jacket’?  This uniform means something.  A chance to make a difference.  You don’t respect that, because you don’t understand. ",Iron Man,2008,23,0.0,0.746,0.254,0.6249
95,TONY STARK,"See that one?  Her I understand. Croatian.  Hot-blooded, I’m serious.  Must be those winters in Zagreb -- ",Iron Man,2008,21,0.08,0.92,0.0,-0.0772
96,JAMES RHODES,You’re not listening to a word I’m saying.,Iron Man,2008,8,0.0,1.0,0.0,0.0
97,TONY STARK,"I am listening.  I’m changing the subject.  It’s the same litany, every time you’ve had a thimble of alcohol.  Drink One: reflections on the New American Century and related topics -- ",Iron Man,2008,35,0.0,1.0,0.0,0.0
98,JAMES RHODES,"Something’s...seriously wrong with you, man. ",Iron Man,2008,6,0.437,0.563,0.0,-0.4767
99,TONY STARK,Drink 2: a history of World War II and the Tuskeegee Flyers.  Drink 3--,Iron Man,2008,15,0.245,0.755,0.0,-0.5994
100,JAMES RHODES,"You know, hell with you.  I’m not talking to you anymore.",Iron Man,2008,12,0.315,0.685,0.0,-0.6808
101,TONY STARK,"Go hang with the pilot.  You’ll get along, he’s got a personality just like yours. ",Iron Man,2008,17,0.0,0.839,0.161,0.3612
102,JAMES RHODES,I will. That’s funny.,Iron Man,2008,4,0.0,0.408,0.592,0.4404
103,TONY STARK,"You could tell? The age old question: is it better to be feared or respected?  I say, is it too much to ask for both? With that in mind, I humbly present the crown jewel of Stark Industries Freedom Line.  It’s the first missile system to incorporate my proprietary Repulsor Technology. They say the best weapon is one you never have to fire.  I prefer the one you only have to fire once... That’s how dad did it, it’s how America does it, and so far its worked out pretty well. Find an excuse to fire off one of these and I personally guarantee the enemy is not gonna want to leave their caves. For your consideration, the Jericho... Now there’s one last creation I haven’t shown anyone yet.  You might be interested... To peace, gentlemen...and with every five hundred million, I’ll throw in a free one of these...  Hey, what are you doing up? ",Iron Man,2008,161,0.062,0.71,0.228,0.982
104,OBADIAH STANE,Sleeping.  How did it go?,Iron Man,2008,6,0.0,1.0,0.0,0.0
105,TONY STARK,I think we got an early Christmas coming.,Iron Man,2008,8,0.0,1.0,0.0,0.0
106,OBADIAH STANE,Sounds good.,Iron Man,2008,2,0.0,0.256,0.744,0.4404
107,TONY STARK,"Hey, why aren’t you wearing the PJs I got you? ",Iron Man,2008,11,0.0,1.0,0.0,0.0
108,OBADIAH STANE,"I don’t do monograms.  I’m hanging up now, bye-bye.",Iron Man,2008,10,0.0,1.0,0.0,0.0
109,TONY STARK,"All right, who wants to ride with me?  Jimmy? ",Iron Man,2008,11,0.0,1.0,0.0,0.0
110,IRON MAN JIMMY,Me?,Iron Man,2008,1,0.0,1.0,0.0,0.0
111,TONY STARK,"Sorry, Rhodey, no room for my conscience in here.  Or that hang- dog look.  See you back at base. ...water...water.",Iron Man,2008,22,0.163,0.837,0.0,-0.3612
112,YINSEN,I wouldn’t do that if I were you.,Iron Man,2008,8,0.0,1.0,0.0,0.0
113,TONY STARK,What have you done to me?,Iron Man,2008,6,0.0,1.0,0.0,0.0
114,YINSEN,"What did I do?  I removed what I could, but there’s a lot left headed for you atrial septum.  Do you want a souvenir? I’ve seen many wounds like this in my village.  The walking dead we called them, because it took a week for the barbs to reach vital organs.  I anchored a magnetic suspension system to the plate. It’s holding the shrapnel in place...at least for now. That’s right, smile.  We met once -- at a technical conference in Bern. ",Iron Man,2008,88,0.07,0.786,0.144,0.5122
115,TONY STARK,I don’t remember.,Iron Man,2008,3,0.0,1.0,0.0,0.0
116,YINSEN,"You wouldn’t.  If I’d been that drunk, I wouldn’t have been able to stand, much less give a talk on integrated circuits. ",Iron Man,2008,24,0.112,0.888,0.0,-0.34
117,TONY STARK,Where are we --?,Iron Man,2008,4,0.0,1.0,0.0,0.0
118,YINSEN,"Stand up!  Do as I do.  Now! Listen to me, whatever they ask you, refuse.  You understand?  You must refuse.",Iron Man,2008,24,0.227,0.773,0.0,-0.6103
119,ABU,"Welcome Tony Stark, the greatest mass murderer in the history of America.  It’s a great honor. ",Iron Man,2008,18,0.158,0.344,0.498,0.872
120,YINSEN,"He says welcome Tony Stark, the greatest mass murderer in the history of America.  He is very honored.",Iron Man,2008,19,0.154,0.468,0.378,0.7713
121,ABU,I want you to build this for me -- the Jericho missile you were demonstrating.,Iron Man,2008,15,0.0,0.909,0.091,0.0772
122,YINSEN,You will build for him Jericho missile you were demonstrating.,Iron Man,2008,10,0.0,1.0,0.0,0.0
123,TONY STARK,...I refuse.,Iron Man,2008,2,0.688,0.312,0.0,-0.296
124,YINSEN,"You refuse?  You will do everything he says.  This is the great Abu Bakar.  You’re alive only because of his generosity.  You are nothing.  NOTHING.  He offers you his hospitality, and you answer only with insolence  He will not be refused.  You will die in a pool of your own blood. Perfect.  You did very well, Stark. Good, I think they’re starting to trust me. Well, that’s the end of my plan. Quite a collection, isn’t it? ",Iron Man,2008,87,0.064,0.656,0.28,0.9628
125,TONY STARK,How did they get all this?,Iron Man,2008,6,0.0,1.0,0.0,0.0
126,ABU,"As you see, we have everything you need to build the Jericho.  You will make a list of materials and start work right away.  When we are done we will set you free. ",Iron Man,2008,36,0.0,0.904,0.096,0.5106
127,YINSEN,"As you can see, they have everything you need to build the Jericho.  He says make a list of materials.  You will start work right away and when you are done he will set you free.",Iron Man,2008,38,0.0,0.912,0.088,0.5106
128,TONY STARK,No he won’t,Iron Man,2008,3,0.524,0.476,0.0,-0.296
129,YINSEN,...no he won’t.,Iron Man,2008,3,0.0,1.0,0.0,0.0
130,JAMES RHODES,Something’s not right.,Iron Man,2008,3,0.0,1.0,0.0,0.0
131,GENERAL GABRIEL,Looks like a standard hit and run.,Iron Man,2008,7,0.0,0.667,0.333,0.3612
132,JAMES RHODES,"Sir, I’m telling you, this was a snatch and grab.  A perfectly executed linear ambush.  As soon as they got what they wanted, they melted away. ",Iron Man,2008,29,0.0,0.846,0.154,0.6369
133,GENERAL GABRIEL,"Intel’s on it, we’re in good hands. If he’s out there, we’ll get him.",Iron Man,2008,14,0.0,0.818,0.182,0.4404
134,JAMES RHODES,With your permission I’d like to stay in theater and head up the search and investigation.,Iron Man,2008,16,0.0,0.857,0.143,0.3612
135,GENERAL GABRIEL,There’s a PR firestorm brewing over this.  Right now the best way to serve your country is to get back there and handle it.,Iron Man,2008,25,0.0,0.84,0.16,0.6369
136,JAMES RHODES,"Tony Stark is the DOD’s number one intellectual asset, and I can be of value in the field. ",Iron Man,2008,19,0.0,0.578,0.422,0.8176
137,GENERAL GABRIEL,"Duly noted, but we need you back home. Colonel, it’s not lost on me that Stark is a lifelong friend.",Iron Man,2008,20,0.0,0.716,0.284,0.7746
138,YINSEN,"I’m sure they’re looking for you, Stark, but they will never find you here.    That car battery is running out...and they won’t turn on the generator till you start to work. You don’t like what you saw out there, did you?  I didn’t like it either when those weapons destroyed my village.  What you just saw, that’s your legacy -- your life’s work in the hands of these murderers.   Is that how you want to go out?  Is this the last act of defiance of the great Tony Stark? Or are you going to try to do something about it? ",Iron Man,2008,109,0.116,0.75,0.134,-0.4234
139,TONY STARK,"Why should I do anything, they’re either going to kill me or I’m going to die in a week. ",Iron Man,2008,20,0.364,0.636,0.0,-0.8625
140,YINSEN,Then this is a very important week for you.,Iron Man,2008,9,0.0,0.77,0.23,0.2716
141,TONY STARK,"Okay, here’s what I need... S-Category missiles.  Lot 7043.  The S-30 explosive tritonal.  And a dozen of the S-76.  Mortars: M-Category #1, 4, 8, 20, and 60.  M- 229’s, I need eleven of these.  Mines: the pre-90s AP 5s and AP 16s. ",Iron Man,2008,49,0.0,0.952,0.048,0.2263
142,YINSEN,"S-Category missiles.  Lot 7043.  The S-30 explosive tritonal.  And a dozen of the S-76.  Mortars: M-Category #1, 4, 8, 20, and 60.  M- 229’s, he needs eleven of these.  Mines: the pre-90s AP 5s and AP 16s.",Iron Man,2008,43,0.0,1.0,0.0,0.0
143,TONY STARK,"...this area free of clutter, with good light.  I want it at 12 o’clock to the door to avoid logjams.  I need welding gear -- acetelyene or propane, helmets, a soldering set-up with goggles, and smelting cups.  Two full sets of precision tools. ",Iron Man,2008,47,0.048,0.788,0.164,0.6486
144,YINSEN,"...this area free of clutter, with good light.  He wants it at 12 o’clock to the door to avoid logjams.  He needs welding gear -- acetylene or propane, helmets, a soldering set-up with goggles, and smelting cups.  Two full sets of precision tools.",Iron Man,2008,46,0.046,0.823,0.131,0.6124
145,TONY STARK,"Finally, I want: three pairs of tube socks, white, a toothbrush, protein powder, spices, sugar, five pounds of tea, cards.  And a washing machine.  Top load. ",Iron Man,2008,29,0.0,0.871,0.129,0.2732
146,YINSEN,"Finally, he needs: three pairs of tube socks, white, a toothbrush, protein powder, spices, sugar, five pounds of tea, and some playing cards.  And a washing machine.  Top load.",Iron Man,2008,31,0.0,0.874,0.126,0.3818
147,ABU,A WASHING MACHINE?  DOES HE THINK I’M A FOOL?,Iron Man,2008,10,0.352,0.648,0.0,-0.504
148,TONY STARK,Must have everything.  Great Satan make big boom-kill for powerful Abu Bakar.  Big boom-kill. ,Iron Man,2008,17,0.0,0.635,0.365,0.7845
149,YINSEN,You do know they’ve removed all the explosives before they brought this to us.,Iron Man,2008,14,0.0,1.0,0.0,0.0
150,TONY STARK,"I know, they’re crazy not stupid. This is what we’re looking for.  I need eleven of these.",Iron Man,2008,18,0.132,0.715,0.153,0.0966
151,YINSEN,Eleven?,Iron Man,2008,1,0.0,1.0,0.0,0.0
152,TONY STARK,Heat the palladium to 1825 Kelvin.,Iron Man,2008,6,0.0,1.0,0.0,0.0
153,YINSEN,How will I know when it reaches that temperature?,Iron Man,2008,9,0.0,0.854,0.146,0.0516
154,TONY STARK,"The palladium will melt. Careful, careful... ",Iron Man,2008,7,0.0,0.758,0.242,0.1531
155,YINSEN,Relax.  I always had steady hands. It’s why you’re still alive.,Iron Man,2008,12,0.0,0.593,0.407,0.6705
156,TONY STARK,"Oh yeah, thanks.  What do I call you? ",Iron Man,2008,10,0.0,0.495,0.505,0.6249
157,YINSEN,My name is Yinsen.,Iron Man,2008,4,0.0,1.0,0.0,0.0
158,TONY STARK,Nice to meet you.,Iron Man,2008,4,0.0,0.517,0.483,0.4215
159,YINSEN,Nice to meet you too. What are you building?,Iron Man,2008,9,0.0,0.741,0.259,0.4215
160,TONY STARK,A better mousetrap. What are you shaving for?  We’re almost done.,Iron Man,2008,12,0.0,0.756,0.244,0.4404
161,YINSEN,"Look like an animal, and soon you’ll start behaving like one. That doesn’t look like a Jericho missile.",Iron Man,2008,18,0.0,0.651,0.349,0.7579
162,TONY STARK,That’s because it’s a miniature ARK reactor.  It should suspend the shrapnel in my chest and keep it from entering my heart.,Iron Man,2008,23,0.103,0.897,0.0,-0.3182
163,YINSEN,What an original invention.,Iron Man,2008,4,0.0,0.566,0.434,0.3182
164,TONY STARK,"Yeah, but this one is going to last a bit longer than a week. ",Iron Man,2008,15,0.0,0.873,0.127,0.1531
165,YINSEN,"It’s pretty small, what can it generate? ",Iron Man,2008,8,0.0,0.652,0.348,0.4939
166,TONY STARK,Three gigajoules -- per second.,Iron Man,2008,5,0.0,1.0,0.0,0.0
167,YINSEN,That could run your heart for fifty lifetimes.,Iron Man,2008,8,0.0,1.0,0.0,0.0
168,TONY STARK,Or something very big for fifteen minutes. Let’s put it in.,Iron Man,2008,11,0.0,1.0,0.0,0.0
169,OBADIAH STANE,"Sorry, did I startle you? ",Iron Man,2008,6,0.643,0.357,0.0,-0.3818
170,PEPPER POTTS,A little... ,Iron Man,2008,3,0.0,1.0,0.0,0.0
171,OBADIAH STANE,"This was a bad idea, I should never have let him go over there...",Iron Man,2008,14,0.241,0.759,0.0,-0.5423
172,PEPPER POTTS,"Hey, hey...we’ve got to be strong, he’s going to be okay.",Iron Man,2008,11,0.0,0.634,0.366,0.6369
173,YINSEN,"Stark, tell me what you’re doing, and I’ll tell you what I’m doing. ",Iron Man,2008,14,0.0,1.0,0.0,0.0
174,TONY STARK,Looks to me like you’re making a crappy backgammon board.,Iron Man,2008,10,0.275,0.534,0.191,-0.2732
175,YINSEN,Crappy?  This is Lebanese cedar.,Iron Man,2008,6,0.474,0.526,0.0,-0.5574
176,TONY STARK,"Is that where you’re from, Lebanon? ",Iron Man,2008,7,0.0,1.0,0.0,0.0
177,YINSEN,"I’m impressed you even know what this is.  How about we play, and if I win,  you tell me what you’re really making. ",Iron Man,2008,26,0.0,0.671,0.329,0.8519
178,TONY STARK,“A” I don’t know what your talking about.  “B” I was the backgammon champ at MIT four years running.,Iron Man,2008,20,0.0,0.838,0.162,0.4767
179,YINSEN,"Interesting, I was the champion at Cambridge. ",Iron Man,2008,8,0.0,0.377,0.623,0.765
180,TONY STARK,Please don’t use ‘interesting’ and Cambridge in the same sentence. Is that still a school?,Iron Man,2008,15,0.0,0.769,0.231,0.3818
181,YINSEN,It’s a university. You probably haven’t heard about it since Americans can’t get in.,Iron Man,2008,14,0.0,1.0,0.0,0.0
182,TONY STARK,Unless they’re teaching.,Iron Man,2008,3,0.0,1.0,0.0,0.0
183,RAZA,Relax. The bow and arrow was once the pinnacle of weapons technology.  It allowed the great Genghis Khan to rule from the Pacific to the Ukraine. Today...whoever has the latest Stark weapons rules these lands. Soon it will be my turn... What’s really going on here?,Iron Man,2008,47,0.106,0.766,0.128,0.296
184,YINSEN,Nothing.  We’re working.,Iron Man,2008,4,0.0,1.0,0.0,0.0
185,RAZA,It’s been a long time.  Where’s the weapon?,Iron Man,2008,9,0.268,0.732,0.0,-0.296
186,YINSEN,He’s working very hard.  It’s very complex.,Iron Man,2008,8,0.22,0.78,0.0,-0.1761
187,RAZA,Get him on his knees. Tell me what is going on?,Iron Man,2008,11,0.0,1.0,0.0,0.0
188,YINSEN,Nothing!  NOTHING is going on.,Iron Man,2008,6,0.0,1.0,0.0,0.0
189,RAZA,OPEN YOUR MOUTH! TELL ME NOW!,Iron Man,2008,6,0.0,1.0,0.0,0.0
