,full_name,line,movie,compound
10,TONY STARK,"Okay, okay, Loki’s from Asgard, he’s comfortable there.  Knows the restaurants.  It’s a safe bet he visits home.  If we can just grab This-Thor and explain the situation, he and I can fly- ",Avengers: Endgame,0.8402
11,STEVE ROGERS,"It’s just...sir, the box is glowing.  And to be honest, a couple of our mail guys aren’t feeling great- ",Avengers: Endgame,0.836
12,CLINT BARTON,"Yeah, sure thing.  I’ll do my best. ",Avengers: Endgame,0.8271
13,STAN LEE,"Make love, not war, baby!",Avengers: Endgame,0.8243
14,TONY STARK,"I’ve had a mild inspiration, like to see if it checks out.  I would like to run one last sim before we pack it in for the night.  This time, in the shape of a Mobius Strip, inverted. ",Avengers: Endgame,0.8126
15,HOWARD STARK,Let’s just say the greater good hasn’t always outweighed my own self interest.,Avengers: Endgame,0.8126
16,TONY STARK,"Yeah, well, I got my second chance right here.  I can’t roll the dice on it.  The table is set for six. If you don’t talk shop, you’re welcome to stay for lunch.",Avengers: Endgame,0.8074
17,ROCKET,"Come here. You think you’re the only one who’s lost people?  What do you think we’re doing here?  I lost the only family I ever had.  Quill, Groot, Drax, the chick with the antenna. All gone.  I’ve lived five meaningless years without them, and every minute has blown Aaskvarian gornads.  I get you miss your mom. But she’s gone.  Really gone. There are plenty of people who are only kind of gone.  And you can help them.  So, is it too much to ask that you brush the crumbs out of your beard, make shmoopy talk to Prettypants, and when she’s not looking, suck out the Infinity Stone, and help me get my family back? ",Avengers: Endgame,0.8019
18,PEGGY CARTER,"Oh, for the love of- I’ll find the weather projections.  You call Braddock and tell him to shelter in place.  Assuming he’s bright enough to come out of the rain. ",Avengers: Endgame,0.7964
19,BRUCE BANNER,"Honestly, I have no idea.  We’re attempting time travel.  Either it’s all a joke, or none of it is. We’re good!  Helmet on.  Okay.  I’m going to send you back one week, give you an hour to look around, then bring you back in ten seconds.  Make sense? ",Avengers: Endgame,0.7959
20,SAM WILSON,Thank you.  I’ll try my best.,Avengers: Endgame,0.7717
21,BRUCE BANNER,"For him, as long as he needs.  For us, five seconds. Ready, Cap?  You’re good to go. Meet you right back here, okay?",Avengers: Endgame,0.7691
22,ROCKET,"Aw, look.  It’s like a puppy, all happy and everything.  You want to go to space, puppy? I’ll take you to space.",Avengers: Endgame,0.7579
23,SCOTT LANG,"I get that you’ve got a lot on the line, here.  You’ve got a wife.  A daughter.  But I lost someone very important - a lot of us did - and now we have a chance to save her, and everyone else, and you won’t even- ",Avengers: Endgame,0.7572
24,SCOTT LANG,"Easy, easy.  Careful with those. ",Avengers: Endgame,0.7506
25,ANCIENT ONE,I can’t risk this reality on a promise. It is the duty of the Sorcerer Supreme to protect the Time Stone-,Avengers: Endgame,0.7506
26,JAMES RHODES,"Yeah, me either.  I guess we do the best with what we’ve got, huh?  Let’s get out of here.  Place gives me the creeps.  Sync up.  Three... two...one...",Avengers: Endgame,0.7506
27,CLINT BARTON,I just wish there were some way I could let her know that we won. That we did it.,Avengers: Endgame,0.7506
28,THANOS,"I’m thankful.  Because now I know what I must do. I will shred this universe down to its last atom. And then, with the stones you’ve collected for me, create a new one, teeming with life that knows not what it has lost, but only what it has been given.  A grateful universe. ",Avengers: Endgame,0.7391
29,TONY STARK,"We’ve got a shot at the Stones.  I just need you to know my priorities.  Bring back everyone we lost, hopefully.  Keep what I found, definitely.  And, let’s not die trying.",Avengers: Endgame,0.7388
30,TONY STARK,Good sport.  Have fun?,Avengers: Endgame,0.7351
31,THOR,"Home sweet home.  Tree!  Good to see you.  The Asgardians of the Galaxy, together again. All right, where first?",Avengers: Endgame,0.7345
32,PETER PARKER,"Mr. Stark.  Holy cow, you would not believe what’s been going on.  Do you remember when we were in space? And I got all dusty?  I must’ve passed out, because I woke up and you weren’t there, but Dr. Strange was, and he was like, “it’s been five years, they need us.”  And he started doing that yellow sparkly thing he does- Oh.  This is nice.",Avengers: Endgame,0.7278
33,TONY STARK,"And I needed you, as in past tense. That trumps what you need.  It’s too late, buddy.  You know what I need? I need a shave and a burger, not a bowl of soup. And I believe I remember telling all of you, alive and otherwise, that we needed a suit of armor around the world, whether it impacted our precious freedoms or not- ",Avengers: Endgame,0.7269
34,ROCKET,He’s pretty good at that...,Avengers: Endgame,0.7269
35,FRIGGA,"Everyone fails at “who they’re supposed to be,” Thor.  The measure of a person, of a hero, is how well they succeed at being who they are.",Avengers: Endgame,0.7269
36,HOWARD STARK,Did you feel qualified?  Like you had any idea how to successfully operate that thing?,Avengers: Endgame,0.7236
37,HOWARD STARK,A girl would be nice.  Less chance she’d turn out exactly like me.,Avengers: Endgame,0.719
38,TONY STARK,You should not be wearing that. It’s part of a special anniversary gift I made for Mom.  You thinking about lunch? Where’d you find this?,Avengers: Endgame,0.7149
39,STEVE ROGERS,"Good luck, Scott.  You’ve got this. ",Avengers: Endgame,0.7096
40,ANCIENT ONE,"Yes, I suppose that would be the case-  Care to explain?",Avengers: Endgame,0.7096
41,TONY STARK,"Good luck with that mission, Captain. ",Avengers: Endgame,0.7096
42,STEVE ROGERS,"Good luck with your project, Doctor.",Avengers: Endgame,0.7096
43,SCOTT LANG,Perfectly not confusing.,Avengers: Endgame,0.7065
44,BRUCE BANNER,"Yeah, with all due respect, I’m not sure the science supports that. ",Avengers: Endgame,0.7039
45,BAD NEBULA,"No.  Please, father.  That’s not me.  I would never betray you. Please- ",Avengers: Endgame,0.6973
46,TONY STARK,"But wait, there’s more.   Act now, and it comes with a bonus offer.",Avengers: Endgame,0.6956
47,VALKYRIE,Uh huh.  I liked you better either of the other ways.,Avengers: Endgame,0.6908
48,BRUCE BANNER,"Hey, Valkyrie!  Great to see you!",Avengers: Endgame,0.6892
49,TONY STARK,"I said we’d lose, you said we’d “do that together, too.”  Guess what, Cap, we lost, and you weren’t there.  But that’s what we do, right?  Our best work after the fact?  We’re the “Avengers”, not the “Pre-vengers-” ",Avengers: Endgame,0.6868
50,A1 THOR,"Yes, that’s much better. You coming, Stark?",Avengers: Endgame,0.6808
51,HOWARD STARK,That’s good.  Smart guy.,Avengers: Endgame,0.6808
52,PETER PARKER,"Mr. Stark...Tony...it’s okay, it’s okay...Mr. Stark, we won.  You did it, sir...",Avengers: Endgame,0.6808
53,TONY STARK,"Gotta say it.  Sometimes I’ve missed that giddy optimism.  Sadly, all your high hopes won’t help me if there’s no logical, tangible way for me to safely execute said “time heist.”  I believe the most likely outcome would be our collective demise. ",Avengers: Endgame,0.6597
54,SCOTT LANG,"Yes, I do, Captain America.  Yes, I- ",Avengers: Endgame,0.6597
55,TONY STARK,You like going in the garage?  So does Daddy.  It’s all right.  Mommy never wears what I buy her. I just want to thank you folks for dropping by.  It’s not every day one gets to contemplate biting it on an inter-dimensional timescape.,Avengers: Endgame,0.6486
56,THANOS,"Thank you, daughter.  Perhaps I’ve treated you too-  And that is destiny fulfilled.",Avengers: Endgame,0.6486
57,TONY STARK,Love you tons.,Avengers: Endgame,0.6369
58,MORGAN STARK,Love you three thousand.,Avengers: Endgame,0.6369
59,SCOTT LANG,You’re sure these modifications are safe?,Avengers: Endgame,0.6369
60,TONY STARK,He did his best.,Avengers: Endgame,0.6369
61,BRUCE BANNER,You’d better get going.  We’re almost ready for you.,Avengers: Endgame,0.6258
62,VALKYRIE,"Great, then you can hose out the gut buckets- ",Avengers: Endgame,0.6249
63,ROCKET,"Yeah, I’m good. ",Avengers: Endgame,0.6249
64,ROCKET,Great.,Avengers: Endgame,0.6249
65,STEVE ROGERS,"Oh, great. ",Avengers: Endgame,0.6249
66,NATASHA ROMANOFF,"Great.  You show us where it is, and we’ll be on our way.",Avengers: Endgame,0.6249
67,CLINT BARTON,"We’ll both have mustard, hon!  Okay.  Draw back, deep breath... Good job, Hawkeye.  Go get your arrow. ",Avengers: Endgame,0.6239
68,RED SKULL,"I assure you, you have nothing to fear from me. ",Avengers: Endgame,0.6159
69,NEBULA,"Don’t bother. I can tell you where Thanos is. Thanos spent a long time trying to...perfect me.  When he worked, he talked.  About his Great Plan. Even disassembled, I wanted to please him.  I’d ask, where would we go once his plan was complete? His answer was always the same: “To the Garden.” ",Avengers: Endgame,0.6124
70,JAMES RHODES,"But it wasn’t.  Same MO as Marseille.  And Kiev. It’s definitely Barton. What he’s done here...what he’s been doing...I got to tell you, part of me doesn’t want to find him.",Avengers: Endgame,0.6124
71,HOWARD STARK,"Well, good to meet you, Potts. ",Avengers: Endgame,0.6124
72,RED SKULL,"For one of you.  For the other... The Stone demands a sacrifice.  In order to take it, you must leave behind that which you love.  A soul for a soul. ",Avengers: Endgame,0.6124
73,MANTIS,"Oh, yes, please, use knives- ",Avengers: Endgame,0.6124
74,TONY STARK,Congratulations.,Avengers: Endgame,0.5994
75,STEVE ROGERS,It was beautiful.,Avengers: Endgame,0.5994
76,STEVE ROGERS,"Tony, I get it.  And I’m happy for you.  I am.  But this is a second chance. ",Avengers: Endgame,0.5927
77,ANCIENT ONE,"At what cost? The Infinity Stones create the experience you know as the flow of time.  Remove one of the stones, and the flow splits. Now, your timeline might benefit. My new one...would definitely not.  In this new branch reality, without our chief weapon against the forces of darkness, our world would be overrun...  For each stone you remove, you’ll create a new, vulnerable timeline. Millions will suffer. Now tell me, Doctor.  Can your science prevent all that? ",Avengers: Endgame,0.5924
78,PEPPER POTTS,That’s amazing.,Avengers: Endgame,0.5859
79,JAPSER SITWELL,"Evidence secured, we are en route to Dr. List...No, no hitches at all, Mr. Secretary... Captain, I thought you were coordinating search and rescue? ",Avengers: Endgame,0.5859
80,TONY STARK,Doc.  You said we win one in 14 million.  Is this how it goes down?,Avengers: Endgame,0.5859
81,STEVE ROGERS,Yeah.  Just like that.,Avengers: Endgame,0.5719
82,SCOTT LANG,"Okay, but that’s the thing.  It wasn’t.  For me, it was only five hours.  The rules in the Quantum Realm aren’t like out here. They’re completely unpredictable. Is anybody gonna eat that sandwich? ",Avengers: Endgame,0.5719
83,SCOTT LANG,Yeah.  And you look like that on purpose.,Avengers: Endgame,0.5719
84,BRUCE BANNER,We need your help.  There’s a chance we can fix everything.,Avengers: Endgame,0.5719
85,JAMES RHODES,Star Trek.  Terminator.  Bill and Ted’s Excellent-,Avengers: Endgame,0.5719
86,EBONY MAW,"Sir, the file appears...entangled. It was a memory, but not hers. There’s another consciousness sharing her network.  Another Nebula. ",Avengers: Endgame,0.5719
87,THANOS,I found them all.  I won.  Tipped the cosmic scales to balance.,Avengers: Endgame,0.5719
88,SAM WILSON,I’m happy for you.  Really.,Avengers: Endgame,0.5719
89,ROCKET,"Okay, here’s the deal.  You’re going to charm her, and I’m going to poke her with this thing, extract the Reality Stone, and get gone lickety-split.",Avengers: Endgame,0.5574
90,ROCKET,"Yeah, I’m sure that’s it.  Kind of a step down from golden palaces and magic hammers... ",Avengers: Endgame,0.5423
91,TONY STARK,"Yeah, I had a can in the desk for emergencies.  Can we focus, please? ",Avengers: Endgame,0.5423
92,THOR,What kind?,Avengers: Endgame,0.5267
93,ANCIENT ONE,Or I did. Strange is meant to be the best of us.,Avengers: Endgame,0.5267
94,FRIGGA,"I was raised by witches, boy.  I see with more than eyes, you know that. I can see the future hasn’t been kind to you, has it? ",Avengers: Endgame,0.5267
95,JAMES RHODES,All that?  Really helpful!,Avengers: Endgame,0.5244
96,A1 THOR,Stark?  Somebody get some help!  Is it your chest machine?,Avengers: Endgame,0.5191
97,NEBULA,It was fun.,Avengers: Endgame,0.5106
98,CAROL DANVERS,Trust me.  You get used to it.,Avengers: Endgame,0.5106
99,KORG,Beer’s in the bucket.  Feel free to log on to the WiFi.,Avengers: Endgame,0.5106
100,TONY STARK,Our history.  Not all of them are going to be a fun drop-in.,Avengers: Endgame,0.5106
101,TONY STARK,"All right, you heard the man. Stroke those keys, Jolly Green.",Avengers: Endgame,0.5106
102,A1 STEVE,I’m on my way down to coordinate search and rescue.,Avengers: Endgame,0.5106
103,TONY STARK,Our history.  Not all of them are going to be a fun drop-in.,Avengers: Endgame,0.5106
104,TONY STARK,You trust me?,Avengers: Endgame,0.5106
105,NATASHA ROMANOFF,"World governments are in pieces, as you can imagine.  But the parts that still work are trying to take a census.  It looks like he did what he said he was going to do. Thanos wiped out fifty percent of all the living creatures on Earth.",Avengers: Endgame,0.5023
106,HOWARD STARK,"I tell you, this kid’s not even here yet, but there’s nothing I wouldn’t do for him. Besides, if I fall down on the fathering job, old Jarvis is ready to pick up the slack.  Isn’t that right? ",Avengers: Endgame,0.5023
107,BRUCE BANNER,We don’t.  But the radiation’s mostly gamma. It’s like I was made for this...,Avengers: Endgame,0.5023
108,CAROL DANVERS,"Take care of him.  When I come back, I’ll bring a bottle of Xorrian elixir. ",Avengers: Endgame,0.4939
109,STEVE ROGERS,And see a friend.,Avengers: Endgame,0.4939
110,MORGAN STARK,Mommy told me to come save you.,Avengers: Endgame,0.4939
111,SCOTT LANG,Because the guy who invented this thing is pretty much a genius-,Avengers: Endgame,0.4939
112,BRUCE BANNER,"I got it, I know exactly what’s going on.  Pretty much.",Avengers: Endgame,0.4939
113,ROCKET,Don’t.  Care.  Dude.,Avengers: Endgame,0.4939
114,NATASHA ROMANOFF,Take care of yourself.,Avengers: Endgame,0.4939
115,TONY STARK,Don’t think I care.,Avengers: Endgame,0.4939
116,BRUCE BANNER,Rhodey.  Rocket.  Get out of here. Save yourselves.,Avengers: Endgame,0.4939
117,ROCKET,So thanks for the hot tip-,Avengers: Endgame,0.4927
118,TONY STARK,"This thing on?  Hey, Ms. Potts. Pep.  If you find this recording, don’t post it on social media. It’s going to be a real tearjerker. I don’t know if you’re ever going to see these.  I don’t even know if you’re still...God, I hope so. Today’s day twenty-one, no...twenty- two. You know, if it wasn’t for the existential terror of staring into the literal void of space, I’d say I’m feeling a little better today. Infection’s run its course, thanks to the Blue Meanie back there. You’d like her.  She’s very practical.  And only a tiny bit sadistic.  The fuel cells were cracked during battle, but we figured out a way to reverse the ion charge.  Bought ourselves about 48 hours of flight time.  Problem is that was about...49 hours ago.  Which means, we’re dead in the water.  A thousand light years from the nearest 7-11. Most of the quote-unquote ‘food’ and potable water ran out two weeks ago. Pep, I know I said no more surprises.  But, I gotta say, I was really hoping to pull off one last one.  But it looks like...well, you know what it looks like. Don’t feel bad about this.  I mean, actually, if you grovel for a couple weeks, and then move on with enormous guilt...I should probably lie down for a minute, rest my eyes.  Please know, when I drift off, it will be like every day lately.  I’m fine, totally fine. I’m going to dream about you.  It’s always you. I couldn’t stop him.",Avengers: Endgame,0.4823
119,PEPPER POTTS,We got really lucky-,Avengers: Endgame,0.4754
120,PETER PARKER,"Hey, nice to meet you-aaaaarg!",Avengers: Endgame,0.4753
121,SCOTT LANG,What?  Yes. Have either of you guys ever studied quantum physics?,Avengers: Endgame,0.4696
122,HOWARD STARK,My old man never met a problem he couldn’t solve with a belt.,Avengers: Endgame,0.4692
123,THANOS,You should be grateful.,Avengers: Endgame,0.4588
124,ROCKET,"That’s pretty lame, as far as promises go. ",Avengers: Endgame,0.4588
125,GAMORA,You’re welcome?,Avengers: Endgame,0.4588
126,THANOS,You should be grateful.,Avengers: Endgame,0.4588
127,HANK PYM,"That would be the number you called, yes.",Avengers: Endgame,0.4588
128,RED SKULL,"Welcome Natasha, daughter of Ivan. Clint, son of Edith. ",Avengers: Endgame,0.4588
129,BRUCE BANNER,"100%, little lady. Thanks, pal.  Hulk out! ",Avengers: Endgame,0.443
130,AVENGERS JIMMY,"Good job, Bobby.  Back in the game. ",Avengers: Endgame,0.4404
131,NATASHA ROMANOFF,"Thanks.  Carol, you’re still coming our way next month? ",Avengers: Endgame,0.4404
132,NATASHA ROMANOFF,"If you’re about to tell me to look on the bright side, I’m about to hit you with a peanut butter sandwich.",Avengers: Endgame,0.4404
133,NATASHA ROMANOFF,"I used to have nothing.  Then I got this.  This job, this family.  And I was better because of it. And even though they’re gone, I’m still trying to be...better. ",Avengers: Endgame,0.4404
134,CLINT BARTON,Give me hope.,Avengers: Endgame,0.4404
135,ROCKET,Good.,Avengers: Endgame,0.4404
136,BAD NEBULA,I swear I will make you proud-,Avengers: Endgame,0.4404
137,BROCK RUMLOW,We promise to be extra careful.,Avengers: Endgame,0.4404
138,FRIGGA,You’re better off leaving the sneaking to your brother. What are you wearing?,Avengers: Endgame,0.4404
139,FRIGGA,"This was a gift.  Now, go be the man you’re meant to be. And eat a salad.",Avengers: Endgame,0.4404
140,THOR,"Still worthy. Goodbye, Mum. ",Avengers: Endgame,0.4404
141,HOWARD STARK,Easy to remember-,Avengers: Endgame,0.4404
142,HOWARD STARK,Thanks.,Avengers: Endgame,0.4404
143,HOWARD STARK,Thanks.  See you around?,Avengers: Endgame,0.4404
144,THOR,"Staring at the thing isn’t going to bring everybody back, is it?  Look, I’m the strongest Avenger.  It’s my responsibility.  Fate wills it so. ",Avengers: Endgame,0.4404
145,TONY STARK,Good to go?,Avengers: Endgame,0.4404
146,TONY STARK,You better be right.,Avengers: Endgame,0.4404
147,THOR,They already have one.  And she’s a far better king than I could ever be.,Avengers: Endgame,0.4404
148,STEVE ROGERS,Thanks.,Avengers: Endgame,0.4404
149,BAD NEBULA,"We will not fail you, father.",Avengers: Endgame,0.431
150,TONY STARK,"Cap, I’ve got to say that outfit does nothing for your ass. ",Avengers: Endgame,0.431
151,CLINT BARTON,"Okay, you see where you’re going? Let’s work on how to get there. Okay, good...tip down...bow arm out...three fingers- ",Avengers: Endgame,0.4215
152,BRUCE BANNER,Had a nice place in the Village.,Avengers: Endgame,0.4215
153,THOR,I always wear this.  It’s one of my favorites.,Avengers: Endgame,0.4215
154,HOWARD STARK,"If it’s a boy, my wife likes Elmonzo. ",Avengers: Endgame,0.4215
155,THOR,Oh.  Were all of you just waiting for the right opportunity?,Avengers: Endgame,0.4215
156,HAPPY HOGAN,Did you know your dad liked cheeseburgers?,Avengers: Endgame,0.4215
157,FRIDAY,"Yes, sir. ",Avengers: Endgame,0.4019
158,TONY STARK,I can’t help everybody.,Avengers: Endgame,0.4019
159,ROCKET,We’re definitely here to see him.,Avengers: Endgame,0.4019
160,BRUCE BANNER,It was you.  You helped me.  And I need you to help me again.,Avengers: Endgame,0.4019
161,BRUCE BANNER,Tracking beacons engaged.,Avengers: Endgame,0.4019
162,BAD NEBULA,I didn’t ask for your help.,Avengers: Endgame,0.4019
163,EBONY MAW,Yes.  The two are linked.,Avengers: Endgame,0.4019
164,THOR,"Yes, I am- ",Avengers: Endgame,0.4019
165,FRIGGA,"Yes, you are. ",Avengers: Endgame,0.4019
166,THOR,I wish we had more time-,Avengers: Endgame,0.4019
167,NEBULA,Yes.,Avengers: Endgame,0.4019
168,FEMALE SHIELD AGENT,Definitely Mungo Jerry.,Avengers: Endgame,0.4019
169,MALE AGENT,"Yes, ma’am.",Avengers: Endgame,0.4019
170,BAD NEBULA,"Yes, father...",Avengers: Endgame,0.4019
171,OKOYE,She’s got help.,Avengers: Endgame,0.4019
172,ROCKET,At least they’re alive-,Avengers: Endgame,0.3818
173,THANOS,They’ll never know it. Because you won’t be alive to tell them.,Avengers: Endgame,0.3818
174,STEVE ROGERS,He’s not wrong.,Avengers: Endgame,0.3724
175,BRUCE BANNER,Just like that?,Avengers: Endgame,0.3612
176,THOR,I like this one.,Avengers: Endgame,0.3612
177,THANOS,"Thank you, daughter.  Perhaps I’ve treated you- ",Avengers: Endgame,0.3612
178,GRIEVING MAN,"Thank you, Jimmy.  First in five years.  I sat there at dinner thinking, what are we even supposed to talk about?",Avengers: Endgame,0.3612
179,ROCKET,And now we smell like garbage-,Avengers: Endgame,0.3612
180,SCOTT LANG,We know what it sounds like.,Avengers: Endgame,0.3612
181,STEVE ROGERS,Sounds like a deal.,Avengers: Endgame,0.3612
182,STEVE ROGERS,"Thank you, Tony.",Avengers: Endgame,0.3612
183,ROCKET,You look like melted ice cream-,Avengers: Endgame,0.3612
184,THOR,Like the cable?  It’s driving me bananas.,Avengers: Endgame,0.3612
185,BRUCE BANNER,Like Thanos.,Avengers: Endgame,0.3612
186,TONY STARK,Thank you.,Avengers: Endgame,0.3612
187,JAMES RHODES,"Time travel suit, I like it.",Avengers: Endgame,0.3612
188,SCOTT LANG,"Wait, like a planet...in space?",Avengers: Endgame,0.3612
189,THOR,"Um, I’ll be right back.  The wine cellar is just down here.  My father used to have this barrel of Aakonian ale.  Felt like getting hit in the face with a poleaxe. I’ll see if the scullery has a couple of to-go cups-",Avengers: Endgame,0.3612
190,THOR,Thank you.  I can do this.,Avengers: Endgame,0.3612
191,GAMORA,He won’t like it.,Avengers: Endgame,0.3612
192,BRUCE BANNER,Thank you.,Avengers: Endgame,0.3612
193,FRIGGA,And you know what that makes you? Just like everyone else.,Avengers: Endgame,0.3612
194,THOR,"I’m not supposed to be like everyone else, though. ",Avengers: Endgame,0.3612
195,NEBULA,I wasn’t always like this.,Avengers: Endgame,0.3612
196,STEVE ROGERS,Looks like we’re improvising.,Avengers: Endgame,0.3612
197,HOWARD STARK,Like what?,Avengers: Endgame,0.3612
198,SAM WILSON,Like it’s someone else’s.,Avengers: Endgame,0.3612
199,ROCKET,"Just wait for it. Oh, yeah! ",Avengers: Endgame,0.3595
200,BRUCE BANNER,"They lost Asgard, then half their people.  Maybe they’re just happy to have a home. ",Avengers: Endgame,0.34
201,TONY STARK,"Ball’s in play.  Head’s up, Cap. Mind Stone’s on the move.",Avengers: Endgame,0.34
202,STEVE ROGERS,No.  Trust me.  It’s okay... Hail Hydra.,Avengers: Endgame,0.34
203,TONY STARK,You’re only giving me a minor cardiac dysrhythmia-,Avengers: Endgame,0.34
204,SCOTT LANG,"Oh, my God! ",Avengers: Endgame,0.3382
205,TONY STARK,"Oh, of course, a time heist, why didn’t we think of this before? Right, because it’s a pipe dream. Who are you again? ",Avengers: Endgame,0.3313
206,CLINT BARTON,"Under different circumstances, this would be totally awesome. Really starting to regret my choice here.",Avengers: Endgame,0.3246
207,JAMES RHODES,You sure about that?,Avengers: Endgame,0.3182
208,JAMES RHODES,"I can have NASA redirect a satellite, do a sweep just to make sure. ",Avengers: Endgame,0.3182
209,TONY STARK,Please don’t-,Avengers: Endgame,0.3182
210,BRUCE BANNER,"Please take your hand off me. Now, I know the thought of...that guy might scare you- ",Avengers: Endgame,0.3182
211,ROCKET,You promise to bring that thing back in one piece?,Avengers: Endgame,0.3182
212,BRUCE BANNER,We will.  I will.  I promise.,Avengers: Endgame,0.3182
213,NEBULA,"I try to kill you.  Several times. But, eventually...we become friends.  We become sisters. ",Avengers: Endgame,0.3182
214,NEBULA,Sounds fair.,Avengers: Endgame,0.3182
215,NATASHA ROMANOFF,"Are you all right?  Hey, look at me.  You okay? ",Avengers: Endgame,0.3094
216,STEVE ROGERS,Clint?  Are you okay?,Avengers: Endgame,0.3094
217,PEPPER POTTS,"Except, it sort of seems like you can. ",Avengers: Endgame,0.2975
218,PETER QUILL,"See, when you keep swiping my map, that sounds kind of like, “of course, I know you think you’re still in charge-” ",Avengers: Endgame,0.2975
219,TONY STARK,Yeah.,Avengers: Endgame,0.296
220,KORG,"Yeah, we don’t say that name in here.",Avengers: Endgame,0.296
221,TONY STARK,Yeah.  Sullivan Street.,Avengers: Endgame,0.296
222,NATASHA ROMANOFF,"Yeah, come on, chop chop, we’re on the clock, here. ",Avengers: Endgame,0.296
223,SECURITY,"Building-wide alert, all units. Target Loki, maximum force. ",Avengers: Endgame,0.296
224,STEVE ROGERS,"Yeah, I know...",Avengers: Endgame,0.296
225,THOR,"Yeah, I guess. ",Avengers: Endgame,0.296
226,TONY STARK,Yeah.  I guess.,Avengers: Endgame,0.296
227,NATASHA ROMANOFF,Yeah.  I’m gonna bet the raccoon didn’t have to climb a mountain.,Avengers: Endgame,0.296
228,NATASHA ROMANOFF,Yeah.  Guess we do.,Avengers: Endgame,0.296
229,CLINT BARTON,And I don’t want you to. Nat.  You know what I’ve done. What I am now.  Your life’s worth ten of mine-,Avengers: Endgame,0.296
230,STEVE ROGERS,Yeah.  Us.,Avengers: Endgame,0.296
231,TONY STARK,Yeah.,Avengers: Endgame,0.296
232,SCOTT LANG,"Time works differently in the Quantum Realm. Problem is, right now, it’s chaos, there’s no way to navigate it.  But what if we could figure out a way to enter the Quantum Realm at a certain point in time...and come out in another.  Like, before Thanos- ",Avengers: Endgame,0.2732
233,TONY STARK,I think I solved it.,Avengers: Endgame,0.2732
234,NATASHA ROMANOFF,"Oh, my God. ",Avengers: Endgame,0.2732
235,BRUCE BANNER,"Well, that, actually. ",Avengers: Endgame,0.2732
236,A1 STEVE,"Strike Teams, clear Forty, then work down.",Avengers: Endgame,0.2732
237,THANOS,So this is the future.  Well done.,Avengers: Endgame,0.2732
238,ANCIENT ONE,"You’re leaving out the most important part, though.  In order to put the stones back, you’d have to survive. ",Avengers: Endgame,0.2716
239,SAM WILSON,"You look a little nervous going by yourself.  Ask nicely, I’ll go with you. ",Avengers: Endgame,0.2716
240,SCOTT LANG,"Top floor, everybody out! ",Avengers: Endgame,0.2714
241,NATASHA ROMANOFF,"If there’s even the smallest chance we can undo this, then we owe it to everyone who’s not sitting here to try.",Avengers: Endgame,0.25
242,TONY STARK,"Good.  Because that would be horseshit.  Scientifically speaking, your brother’s picture doesn’t disappear just ‘cause you went to the dance with your mom. That’s not how quantum physics works. ",Avengers: Endgame,0.25
243,A1 STEVE,You’re not going to get the chance-,Avengers: Endgame,0.25
